City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
St. Paul,44.9444,-93.0933,0.07,50,90,2.25,2021-11-22 21:00:00
St. Paul,44.9444,-93.0933,8.38,46,99,6.07,2021-11-23 21:00:00
St. Paul,44.9444,-93.0933,3.9,70,100,6.04,2021-11-24 21:00:00
St. Paul,44.9444,-93.0933,-2.01,34,0,4.18,2021-11-25 21:00:00
St. Paul,44.9444,-93.0933,2.02,37,8,1.75,2021-11-26 21:00:00
Cincinnati,39.162,-84.4569,4.44,45,1,4.13,2021-11-22 21:00:00
Cincinnati,39.162,-84.4569,5.43,32,5,1.83,2021-11-23 21:00:00
Cincinnati,39.162,-84.4569,9.43,50,100,4.67,2021-11-24 21:00:00
Cincinnati,39.162,-84.4569,6.93,96,100,3.04,2021-11-25 21:00:00
Cincinnati,39.162,-84.4569,3.66,35,56,3.31,2021-11-26 21:00:00
Greensboro,36.0726,-79.792,13.09,49,19,5.79,2021-11-22 21:00:00
Greensboro,36.0726,-79.792,7.74,26,3,4.14,2021-11-23 21:00:00
Greensboro,36.0726,-79.792,9.98,31,5,2.34,2021-11-24 21:00:00
Greensboro,36.0726,-79.792,13.57,34,20,3.24,2021-11-25 21:00:00
Greensboro,36.0726,-79.792,7.8,34,1,5.24,2021-11-26 21:00:00
Pittsburgh,40.4406,-79.9959,3.08,54,40,4.56,2021-11-22 21:00:00
Pittsburgh,40.4406,-79.9959,2.75,40,53,2.71,2021-11-23 21:00:00
Pittsburgh,40.4406,-79.9959,7.65,43,100,2.2,2021-11-24 21:00:00
